dataset,method,n_seeds,acc,secondary_metric,secondary,jain,worst_client_acc
octmnist,fedavg,3,0.548±0.076,,-,0.911±0.042,0.240±0.171
octmnist,fedprox,3,0.547±0.068,,-,0.914±0.049,0.249±0.177
octmnist,scaffold,3,0.392±0.011,,-,0.869±0.032,0.038±0.040
octmnist,feddyn,3,0.654±0.009,,-,0.968±0.013,0.467±0.046
octmnist,fedbn,3,0.545±0.073,,-,0.872±0.041,0.116±0.091
octmnist,moon,3,0.532±0.053,,-,0.914±0.047,0.221±0.160
octmnist,poc_fedavg,3,0.447±0.030,,-,0.728±0.152,0.055±0.048
octmnist,fedce,3,0.555±0.041,,-,0.937±0.037,0.325±0.073
octmnist,proposed,3,0.507±0.009,,-,0.915±0.016,0.175±0.126
